total time (train set)	% mean class accuracy (train set)	
 8.1000e+01	 5.4473e+00	
 1.6200e+02	 5.9416e+00	
 2.4300e+02	 9.4114e+00	
 3.2400e+02	 9.3088e+00	
 4.0600e+02	 1.6547e+01	
 4.8700e+02	 1.6379e+01	
 5.6800e+02	 2.3309e+01	
 6.4900e+02	 2.0884e+01	
 7.3100e+02	 1.8245e+01	
 8.1200e+02	 2.4914e+01	
 8.9400e+02	 2.6098e+01	
 9.7500e+02	 3.1005e+01	
 1.0560e+03	 3.3486e+01	
 1.1380e+03	 3.9446e+01	
 1.2190e+03	 3.8187e+01	
 1.3010e+03	 3.5379e+01	
 1.3820e+03	 3.9166e+01	
 1.4640e+03	 3.9940e+01	
 1.5450e+03	 4.0836e+01	
 1.6270e+03	 4.5938e+01	
 1.7080e+03	 4.9221e+01	
 1.7900e+03	 4.6180e+01	
 1.8710e+03	 4.9482e+01	
 1.9530e+03	 4.9855e+01	
 2.0340e+03	 4.9865e+01	
 2.1160e+03	 5.2327e+01	
 2.1970e+03	 5.3661e+01	
 2.2790e+03	 5.3073e+01	
 2.3600e+03	 5.3857e+01	
 2.4420e+03	 5.3363e+01	
 2.5240e+03	 5.6319e+01	
 2.6050e+03	 5.8008e+01	
 2.6870e+03	 5.4612e+01	
 2.7680e+03	 5.5648e+01	
 2.8490e+03	 5.5722e+01	
 2.9310e+03	 5.4976e+01	
 3.0120e+03	 5.4090e+01	
 3.0930e+03	 5.5965e+01	
 3.1750e+03	 5.6664e+01	
 3.2560e+03	 5.4640e+01	
 3.3370e+03	 5.4696e+01	
 3.4190e+03	 5.5638e+01	
 3.5000e+03	 5.5704e+01	
 3.5810e+03	 5.6161e+01	
 3.6630e+03	 5.6497e+01	
 3.7440e+03	 5.6935e+01	
 3.8260e+03	 5.7010e+01	
 3.9070e+03	 5.8828e+01	
 3.9880e+03	 5.7970e+01	
 4.0700e+03	 5.8371e+01	
 4.1510e+03	 5.9593e+01	
 4.2320e+03	 6.0769e+01	
 4.3140e+03	 6.0013e+01	
 4.3950e+03	 5.8549e+01	
 4.4770e+03	 5.9799e+01	
 4.5580e+03	 5.9006e+01	
 4.6390e+03	 6.0144e+01	
 4.7210e+03	 6.1384e+01	
 4.8020e+03	 6.0797e+01	
 4.8830e+03	 6.2308e+01	
 4.9650e+03	 6.3240e+01	
 5.0460e+03	 6.3940e+01	
 5.1270e+03	 6.4229e+01	
 5.2090e+03	 6.3548e+01	
 5.2900e+03	 6.5805e+01	
 5.3710e+03	 6.4714e+01	
 5.4520e+03	 6.6421e+01	
 5.5340e+03	 6.4462e+01	
 5.6150e+03	 6.4854e+01	
 5.6960e+03	 6.4798e+01	
 5.7780e+03	 6.5376e+01	
 5.8590e+03	 6.5899e+01	
 5.9400e+03	 6.7634e+01	
 6.0220e+03	 6.6029e+01	
 6.1030e+03	 6.6701e+01	
 6.1840e+03	 6.7428e+01	
 6.2660e+03	 6.7065e+01	
 6.3470e+03	 6.7494e+01	
 6.4280e+03	 6.8995e+01	
 6.5090e+03	 7.0852e+01	
 6.5910e+03	 7.0395e+01	
 6.6720e+03	 6.9863e+01	
 6.7530e+03	 7.0143e+01	
 6.8350e+03	 7.0460e+01	
 6.9160e+03	 6.9723e+01	
 6.9970e+03	 7.0236e+01	
 7.0780e+03	 7.0926e+01	
 7.1600e+03	 7.1225e+01	
 7.2410e+03	 7.2381e+01	
 7.3220e+03	 7.1971e+01	
 7.4040e+03	 7.3025e+01	
 7.4850e+03	 7.1943e+01	
 7.5660e+03	 7.3053e+01	
 7.6470e+03	 7.3780e+01	
 7.7290e+03	 7.3641e+01	
 7.8100e+03	 7.4433e+01	
 7.8910e+03	 7.5431e+01	
 7.9730e+03	 7.5721e+01	
 8.0540e+03	 7.4900e+01	
 8.1350e+03	 7.5394e+01	
 8.2160e+03	 7.6271e+01	
 8.2980e+03	 7.6709e+01	
 8.3790e+03	 7.6318e+01	
 8.4610e+03	 7.5310e+01	
 8.5420e+03	 7.6588e+01	
 8.6230e+03	 7.6196e+01	
 8.7040e+03	 7.5842e+01	
 8.7850e+03	 7.5860e+01	
 8.8670e+03	 7.7623e+01	
 8.9480e+03	 7.8612e+01	
 9.0290e+03	 7.7110e+01	
 9.1100e+03	 7.7399e+01	
 9.1910e+03	 7.7819e+01	
 9.2730e+03	 7.8276e+01	
 9.3540e+03	 7.8911e+01	
 9.4350e+03	 7.9237e+01	
 9.5160e+03	 7.8668e+01	
 9.5980e+03	 7.8957e+01	
 9.6790e+03	 7.8584e+01	
 9.7600e+03	 7.9078e+01	
 9.8410e+03	 7.9498e+01	
 9.9230e+03	 7.9125e+01	
 1.0004e+04	 7.9610e+01	
 1.0085e+04	 7.9713e+01	
 1.0166e+04	 8.0683e+01	
 1.0247e+04	 8.0785e+01	
 1.0329e+04	 8.1354e+01	
 1.0410e+04	 8.2082e+01	
 1.0491e+04	 8.2212e+01	
 1.0572e+04	 8.1671e+01	
 1.0653e+04	 8.2390e+01	
 1.0735e+04	 8.2082e+01	
 1.0816e+04	 8.2418e+01	
 1.0897e+04	 8.2166e+01	
 1.0978e+04	 8.2296e+01	
 1.1059e+04	 8.2240e+01	
 1.1141e+04	 8.2865e+01	
 1.1222e+04	 8.3285e+01	
 1.1303e+04	 8.3481e+01	
 1.1384e+04	 8.3826e+01	
 1.1465e+04	 8.3444e+01	
 1.1547e+04	 8.3397e+01	
 1.1628e+04	 8.4209e+01	
 1.1709e+04	 8.3957e+01	
 1.1790e+04	 8.4302e+01	
 1.1871e+04	 8.3537e+01	
 1.1952e+04	 8.3938e+01	
 1.2034e+04	 8.4889e+01	
 1.2115e+04	 8.4153e+01	
 1.2196e+04	 8.5113e+01	
 1.2277e+04	 8.5412e+01	
 1.2359e+04	 8.5981e+01	
 1.2440e+04	 8.6848e+01	
 1.2521e+04	 8.6065e+01	
 1.2603e+04	 8.6242e+01	
 1.2684e+04	 8.6186e+01	
 1.2765e+04	 8.5738e+01	
 1.2846e+04	 8.6522e+01	
 1.2927e+04	 8.6895e+01	
 1.3008e+04	 8.7650e+01	
 1.3089e+04	 8.6606e+01	
 1.3171e+04	 8.6522e+01	
 1.3252e+04	 8.7007e+01	
 1.3333e+04	 8.7053e+01	
 1.3414e+04	 8.6429e+01	
 1.3495e+04	 8.6419e+01	
 1.3576e+04	 8.6792e+01	
 1.3657e+04	 8.7408e+01	
 1.3738e+04	 8.7100e+01	
 1.3820e+04	 8.7025e+01	
 1.3901e+04	 8.7772e+01	
 1.3982e+04	 8.8042e+01	
 1.4063e+04	 8.8051e+01	
 1.4144e+04	 8.7529e+01	
 1.4225e+04	 8.8033e+01	
 1.4306e+04	 8.7921e+01	
 1.4387e+04	 8.8564e+01	
 1.4468e+04	 8.7324e+01	
 1.4549e+04	 8.7025e+01	
 1.4630e+04	 8.7193e+01	
 1.4711e+04	 8.7436e+01	
 1.4792e+04	 8.7529e+01	
 1.4874e+04	 8.7538e+01	
 1.4955e+04	 8.8079e+01	
 1.5036e+04	 8.8219e+01	
 1.5117e+04	 8.8145e+01	
 1.5198e+04	 8.8089e+01	
 1.5279e+04	 8.8882e+01	
 1.5360e+04	 8.8546e+01	
 1.5441e+04	 8.8509e+01	
 1.5522e+04	 8.8285e+01	
 1.5603e+04	 8.8499e+01	
 1.5684e+04	 8.9022e+01	
 1.5765e+04	 8.8723e+01	
 1.5846e+04	 8.8387e+01	
